Path,Emotions
data/spectrograms/train/0.pt,neutral
data/spectrograms/train/1.pt,neutral
data/spectrograms/train/2.pt,neutral
data/spectrograms/train/3.pt,neutral
data/spectrograms/train/4.pt,neutral
data/spectrograms/train/5.pt,neutral
data/spectrograms/train/6.pt,neutral
data/spectrograms/train/7.pt,neutral
data/spectrograms/train/8.pt,neutral
data/spectrograms/train/9.pt,neutral
data/spectrograms/train/10.pt,neutral
data/spectrograms/train/11.pt,neutral
data/spectrograms/train/12.pt,neutral
data/spectrograms/train/13.pt,neutral
data/spectrograms/train/14.pt,neutral
data/spectrograms/train/15.pt,neutral
data/spectrograms/train/16.pt,neutral
data/spectrograms/train/17.pt,neutral
data/spectrograms/train/18.pt,neutral
data/spectrograms/train/19.pt,neutral
data/spectrograms/train/20.pt,neutral
data/spectrograms/train/21.pt,neutral
data/spectrograms/train/22.pt,neutral
data/spectrograms/train/23.pt,neutral
data/spectrograms/train/24.pt,neutral
data/spectrograms/train/25.pt,neutral
data/spectrograms/train/26.pt,neutral
data/spectrograms/train/27.pt,neutral
data/spectrograms/train/28.pt,neutral
data/spectrograms/train/29.pt,neutral
data/spectrograms/train/30.pt,neutral
data/spectrograms/train/31.pt,neutral
data/spectrograms/train/32.pt,neutral
data/spectrograms/train/33.pt,neutral
data/spectrograms/train/34.pt,neutral
data/spectrograms/train/35.pt,neutral
data/spectrograms/train/36.pt,neutral
data/spectrograms/train/37.pt,neutral
data/spectrograms/train/38.pt,neutral
data/spectrograms/train/39.pt,neutral
data/spectrograms/train/40.pt,neutral
data/spectrograms/train/41.pt,neutral
data/spectrograms/train/42.pt,neutral
data/spectrograms/train/43.pt,neutral
data/spectrograms/train/44.pt,neutral
data/spectrograms/train/45.pt,neutral
data/spectrograms/train/46.pt,neutral
data/spectrograms/train/47.pt,neutral
data/spectrograms/train/48.pt,neutral
data/spectrograms/train/49.pt,neutral
data/spectrograms/train/50.pt,neutral
data/spectrograms/train/51.pt,neutral
data/spectrograms/train/52.pt,neutral
data/spectrograms/train/53.pt,neutral
data/spectrograms/train/54.pt,neutral
data/spectrograms/train/55.pt,neutral
data/spectrograms/train/56.pt,neutral
data/spectrograms/train/57.pt,neutral
data/spectrograms/train/58.pt,neutral
data/spectrograms/train/59.pt,neutral
data/spectrograms/train/60.pt,neutral
data/spectrograms/train/61.pt,neutral
data/spectrograms/train/62.pt,neutral
